tool_id	catalog_tool_id	context	level	status	auroc	aupr	f1_at_truth_count	epr_at_truth_count	n_truth_edges	n_predicted_edges	reason
clr_group_emulated	clr	group:pop_4_1	directed	not_applicable					144	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_4_1	directed	ok	0.9844311347283516	0.18708642036747436	0.2013888888888889	31.257233796296298	144	894	
grnboost2_group_emulated	grnboost2	group:pop_4_1	directed	ok	0.9822736222442383	0.14877169233371196	0.125	19.401041666666668	144	894	
inferelator3_group_native	inferelator3	group:pop_4_1	directed	ok	0.9337051985449378	0.19113546695773795	0.2222222222222222	34.49074074074074	144	807	
kscreni_group_aggregated	kscreni	group:pop_4_1	directed	ok	0.4748294379897325	0.0065413742671697845	0.006944444444444444	1.0778356481481481	144	22151	
scmtni_group_native	scmtni	group:pop_4_1	directed	ok	0.8817170909764128	0.6884309107999881	0.7638888888888888	118.56192129629629	144	118	
scregulate_group_native	scregulate	group:pop_4_1	directed	ok	0.9281004821019344	0.2850771722152222	0.3680555555555556	57.125289351851855	144	420	
simic_group_native	simic	group:pop_4_1	directed	ok	0.9851106933061134	0.19380093452520286	0.1875	29.1015625	144	864	
clr_group_emulated	clr	group:pop_4_5	directed	not_applicable					138	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_4_5	directed	ok	0.9819550145240724	0.17958585250026135	0.15942028985507245	25.819155639571516	138	882	
grnboost2_group_emulated	grnboost2	group:pop_4_5	directed	ok	0.9806128754009453	0.17374368874822152	0.17391304347826086	28.166351606805293	138	882	
inferelator3_group_native	inferelator3	group:pop_4_5	directed	ok	0.969648375209118	0.1685490672707192	0.21014492753623187	34.034341524889726	138	868	
kscreni_group_aggregated	kscreni	group:pop_4_5	directed	ok	0.5145703980352702	0.006553856759057739	0.0	0.0	138	21758	
scmtni_group_native	scmtni	group:pop_4_5	directed	ok	0.8946533340119064	0.6937218705269188	0.7898550724637681	127.9221802142407	138	118	
scregulate_group_native	scregulate	group:pop_4_5	directed	ok	0.8923280796122738	0.2311828329132533	0.3115942028985507	50.46471329552615	138	420	
simic_group_native	simic	group:pop_4_5	directed	ok	0.9835746182374328	0.16249350445538915	0.16666666666666666	26.992753623188406	138	864	
clr_group_emulated	clr	group:pop_5_2	directed	not_applicable					140	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_5_2	directed	ok	0.9845976715765099	0.18541050115948862	0.17857142857142858	28.507653061224488	140	892	
grnboost2_group_emulated	grnboost2	group:pop_5_2	directed	ok	0.9843362063420595	0.19106310701555268	0.18571428571428572	29.647959183673468	140	894	
inferelator3_group_native	inferelator3	group:pop_5_2	directed	ok	0.9552550331253618	0.15269673962486088	0.17142857142857143	27.36734693877551	140	869	
kscreni_group_aggregated	kscreni	group:pop_5_2	directed	ok	0.5227855856435325	0.007071182585879315	0.007142857142857143	1.1403061224489794	140	22014	
scmtni_group_native	scmtni	group:pop_5_2	directed	ok	0.9242897343538946	0.6300332390473599	0.8357142857142857	133.4158163265306	140	142	
scregulate_group_native	scregulate	group:pop_5_2	directed	ok	0.9081887180806586	0.2533181204433916	0.3357142857142857	53.594387755102034	140	420	
simic_group_native	simic	group:pop_5_2	directed	ok	0.9839972341930919	0.16136403889159007	0.16428571428571428	26.22704081632653	140	864	
clr_group_emulated	clr	group:pop_5_3	directed	not_applicable					140	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_5_3	directed	ok	0.9860609763941597	0.19722096854387403	0.20714285714285716	33.06887755102041	140	887	
grnboost2_group_emulated	grnboost2	group:pop_5_3	directed	ok	0.9849697690872837	0.18056825257216103	0.15	23.94642857142857	140	888	
inferelator3_group_native	inferelator3	group:pop_5_3	directed	ok	0.9783065864797067	0.14702655635081263	0.15714285714285714	25.08673469387755	140	876	
kscreni_group_aggregated	kscreni	group:pop_5_3	directed	ok	0.49230140863189037	0.006274506386310868	0.0	0.0	140	21913	
scmtni_group_native	scmtni	group:pop_5_3	directed	ok	0.9129674535280118	0.5085418012513612	0.7	111.74999999999999	140	158	
scregulate_group_native	scregulate	group:pop_5_3	directed	ok	0.926089760082331	0.2709627356833677	0.34285714285714286	54.73469387755102	140	420	
simic_group_native	simic	group:pop_5_3	directed	ok	0.9846330481764971	0.17335300231806264	0.17857142857142858	28.507653061224488	140	864	
clr_group_emulated	clr	group:pop_4_1	signed	not_applicable					144	0	inferred network is not directed
genie3_group_emulated	genie3	group:pop_4_1	signed	not_applicable					144	0	inferred network is not signed
grnboost2_group_emulated	grnboost2	group:pop_4_1	signed	not_applicable					144	0	inferred network is not signed
