command	item_id	status	issue_count	execution_capabilities
infer-network	aracne3	eligible	0	
infer-network	cespgrn	eligible	0	
infer-network	clr	eligible	0	
infer-network	genie3	eligible	0	
infer-network	grnboost2	eligible	0	
infer-network	infercsn	eligible	0	
infer-network	inferelator3	eligible	0	
infer-network	kscreni	eligible	0	
infer-network	lioness	eligible	0	
infer-network	metasem	eligible	0	
infer-network	pidc	eligible	0	
infer-network	ppcor	eligible	0	
infer-network	pyscenic	eligible	0	
infer-network	scing	eligible	0	
infer-network	scmtni	eligible	0	
infer-network	scregulate	eligible	0	
infer-network	scsgl	eligible	0	
infer-network	simic	eligible	0	
infer-network	tigress	eligible	0	
infer-network	scgenerai	warning	1	
infer-network	scminer	warning	1	
infer-network	dignet	blocked	1	
infer-network	miniex3	blocked	4	
infer-network	planet	blocked	1	
