stage	task_id	container_id	container_name	image	mount_source	mount_destination	sample_count	peak_docker_mem_mb
infer-network run	genie3_group_emulated__01_pop_4_5	c6622355cfdf	clever_booth	adriansegura99/inference-tools_genie3:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/01_pop_4_5/io	/io	5	507.825
infer-network run	genie3_group_emulated__02_pop_5_2	ed481ae2b902	stoic_cerf	adriansegura99/inference-tools_genie3:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/02_pop_5_2/io	/io	5	507.196
infer-network run	genie3_group_emulated__03_pop_5_3	55e6b3de463b	angry_perlman	adriansegura99/inference-tools_genie3:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/03_pop_5_3/io	/io	5	506.148
infer-network run	genie3_group_emulated__04_pop_4_1	1fa50c78a628	frosty_ganguly	adriansegura99/inference-tools_genie3:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/04_pop_4_1/io	/io	5	506.148
infer-network run	grnboost2_group_emulated__01_pop_4_5	121c3f14b8e9	funny_benz	adriansegura99/inference-tools_grnboost2:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/01_pop_4_5/io	/io	3	502.373
infer-network run	grnboost2_group_emulated__02_pop_5_2	6310e7616361	pedantic_elion	adriansegura99/inference-tools_grnboost2:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/02_pop_5_2/io	/io	3	505.623
infer-network run	grnboost2_group_emulated__03_pop_5_3	cbd8443d31ec	cool_montalcini	adriansegura99/inference-tools_grnboost2:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/03_pop_5_3/io	/io	3	501.01
infer-network run	grnboost2_group_emulated__04_pop_4_1	54b89be22667	crazy_bohr	adriansegura99/inference-tools_grnboost2:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/04_pop_4_1/io	/io	3	501.01
infer-network run	inferelator3_group_native	b1609808fe38	gracious_faraday	adriansegura99/inference-tools_inferelator3:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/inferelator3_group_native/io	/io	15	1311.039
infer-network run	kscreni_group_aggregated__upstream_column_native	6b26422d6bf5	suspicious_burnell	adriansegura99/inference-tools_kscreni:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/kscreni_group_aggregated/upstream_column_native/io	/io	3	746.586
infer-network run	scregulate_group_native	68907d15976b	beautiful_chaplygin	adriansegura99/inference-tools_scregulate:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/scregulate_group_native/io	/io	1	253.755
infer-network run	simic_group_native	a0a5469bf756	priceless_banzai	adriansegura99/inference-tools_simic:1.0.0	<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/simic_group_native/io	/io	4	143.655
