stage	task_id	sample_count	containers_observed	peak_docker_mem_mb	images	mount_sources
infer-network run	genie3_group_emulated__01_pop_4_5	5	1	507.825	"[""adriansegura99/inference-tools_genie3:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/01_pop_4_5/io""]"
infer-network run	genie3_group_emulated__02_pop_5_2	5	1	507.196	"[""adriansegura99/inference-tools_genie3:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/02_pop_5_2/io""]"
infer-network run	genie3_group_emulated__03_pop_5_3	5	1	506.148	"[""adriansegura99/inference-tools_genie3:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/03_pop_5_3/io""]"
infer-network run	genie3_group_emulated__04_pop_4_1	5	1	506.148	"[""adriansegura99/inference-tools_genie3:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/genie3_group_emulated/subruns/04_pop_4_1/io""]"
infer-network run	grnboost2_group_emulated__01_pop_4_5	3	1	502.373	"[""adriansegura99/inference-tools_grnboost2:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/01_pop_4_5/io""]"
infer-network run	grnboost2_group_emulated__02_pop_5_2	3	1	505.623	"[""adriansegura99/inference-tools_grnboost2:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/02_pop_5_2/io""]"
infer-network run	grnboost2_group_emulated__03_pop_5_3	3	1	501.01	"[""adriansegura99/inference-tools_grnboost2:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/03_pop_5_3/io""]"
infer-network run	grnboost2_group_emulated__04_pop_4_1	3	1	501.01	"[""adriansegura99/inference-tools_grnboost2:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/grnboost2_group_emulated/subruns/04_pop_4_1/io""]"
infer-network run	inferelator3_group_native	15	1	1311.039	"[""adriansegura99/inference-tools_inferelator3:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/inferelator3_group_native/io""]"
infer-network run	kscreni_group_aggregated__upstream_column_native	3	1	746.586	"[""adriansegura99/inference-tools_kscreni:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/kscreni_group_aggregated/upstream_column_native/io""]"
infer-network run	scregulate_group_native	1	1	253.755	"[""adriansegura99/inference-tools_scregulate:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/scregulate_group_native/io""]"
infer-network run	simic_group_native	4	1	143.655	"[""adriansegura99/inference-tools_simic:1.0.0""]"	"[""<case_root>/outputs/02_infer_network/andrea_group_grn_case_study__scmultisim_group_dynamic__r01_20260628T235330Z/tools/simic_group_native/io""]"
