stage	elapsed_in_stage_seconds	process_rss_mb	process_tree_rss_mb	docker_container_count	docker_total_mem_mb	observed_total_mem_mb	docker_error
generate-data preflight	1.0	37.274	37.274	0	0	37.274	
generate-data preflight	0.446	37.274	37.274	0	0	37.274	
generate-data plan	0.791	40.051	40.051	0	0	40.051	
generate-data run	1.363	40.051	64.909	0	0	64.909	
generate-data run	4.935	40.051	64.909	0	0	64.909	
generate-data run	9.559	40.526	40.526	0	0	40.526	
infer-network preflight	0.024	40.526	65.368	0	0	65.368	
infer-network plan	2.021	269.554	269.554	0	0	269.554	
infer-network plan	5.648	298.373	298.643	0	0	298.643	
infer-network plan	9.261	308.916	308.916	0	0	308.916	
infer-network plan	12.842	314.593	314.593	0	0	314.593	
infer-network plan	16.461	320.811	320.811	0	0	320.811	
infer-network plan	20.076	326.488	326.488	0	0	326.488	
infer-network plan	23.662	328.38	328.38	0	0	328.38	
infer-network plan	27.288	332.165	332.165	0	0	332.165	
infer-network plan	30.939	334.057	334.057	0	0	334.057	
infer-network plan	34.554	340.816	340.816	0	0	340.816	
infer-network plan	38.171	344.06	344.06	0	0	344.06	
infer-network plan	41.786	347.304	347.304	0	0	347.304	
infer-network plan	45.431	351.9	352.17	0	0	352.17	
infer-network plan	49.02	357.306	357.306	0	0	357.306	
infer-network plan	52.637	357.577	357.577	0	0	357.577	
infer-network plan	56.283	359.739	359.739	0	0	359.739	
infer-network plan	59.92	361.361	361.361	0	0	361.361	
infer-network plan	63.511	362.983	362.983	0	0	362.983	
infer-network plan	67.115	365.416	365.416	0	0	365.416	
infer-network plan	70.716	369.471	369.471	0	0	369.471	
infer-network plan	74.334	371.364	371.364	0	0	371.364	
infer-network plan	77.944	376.5	376.5	0	0	376.5	
infer-network plan	81.566	377.582	377.582	0	0	377.582	
infer-network plan	85.188	382.177	382.177	0	0	382.177	
infer-network plan	88.812	383.799	383.799	0	0	383.799	
infer-network plan	92.445	384.881	384.881	0	0	384.881	
infer-network plan	96.036	386.773	386.773	0	0	386.773	
infer-network plan	99.658	279.892	279.892	0	0	279.892	
infer-network plan	100.44	279.892	279.892	0	0	279.892	
infer-network run	0.994	279.892	279.892	4	633.445	913.337	
infer-network run	4.99	279.892	279.892	4	1955.385	2235.277	
infer-network run	8.674	279.892	279.892	4	2010.016	2289.908	
infer-network run	12.261	279.917	279.917	1	104.103	384.02	
infer-network run	15.846	279.917	279.917	1	1212.255	1492.172	
infer-network run	19.505	279.917	279.917	1	1303.523	1583.44	
infer-network run	23.146	280.183	280.183	1	1303.523	1583.706	
infer-network run	26.81	280.183	280.183	1	1304.596	1584.779	
infer-network run	30.486	280.183	280.183	1	1304.596	1584.779	
infer-network run	34.158	280.183	280.183	1	1305.67	1585.853	
infer-network run	37.776	280.183	280.183	1	1306.744	1586.927	
infer-network run	41.414	280.183	280.183	1	1306.744	1586.927	
infer-network run	45.078	280.183	280.183	1	1306.744	1586.927	
infer-network run	48.782	280.183	280.183	1	1306.744	1586.927	
infer-network run	52.458	280.183	280.183	1	1306.744	1586.927	
infer-network run	56.15	280.183	280.183	1	1309.965	1590.148	
infer-network run	59.813	280.183	280.183	1	1311.039	1591.222	
infer-network run	63.441	280.183	280.183	1	1311.039	1591.222	
infer-network run	67.072	280.224	280.224	4	505.309	785.533	
infer-network run	73.138	280.224	280.224	4	1929.485	2209.709	
infer-network run	76.759	280.224	280.224	4	1991.874	2272.098	
infer-network run	80.35	280.224	280.224	4	2013.265	2293.489	
infer-network run	83.947	280.224	300.712	4	2027.317	2328.029	
infer-network run	87.554	280.498	302.69	0	0	302.69	
infer-network run	91.565	280.498	304.579	0	0	304.579	
infer-network run	95.277	280.498	280.498	3	768.501	1048.999	
infer-network run	98.887	280.498	280.498	2	890.241	1170.739	
infer-network run	102.448	280.498	280.498	2	743.86	1024.358	
infer-network run	106.004	280.498	280.498	1	143.655	424.153	
infer-network run	109.56	523.547	652.227	0	0	652.227	
infer-network run	116.309	311.37	309.273	0	0	309.273	
infer-network run	120.295	469.34	648.843	0	0	648.843	
infer-network run	125.419	671.855	671.855	0	0	671.855	
infer-network run	129.458	649.695	649.695	0	0	649.695	
infer-network run	133.488	672.768	672.768	0	0	672.768	
infer-network run	137.597	360.514	366.993	0	0	366.993	
infer-network run	138.912	341.836	337.641	0	0	337.641	
evaluate-inference	0.0	337.24	358.146	0	0	358.146	
evaluate-inference	1.638	334.094	356.577	0	0	356.577	
compare-networks	2.077	339.624	358.953	0	0	358.953	
compare-networks	3.742	335.43	334.381	0	0	334.381	
